"$e_r []","TraceW [mm]","Freq [GHz]","dB(St(Trace_T1,Trace_T1)) []","dB(St(Trace_T2,Trace_T2)) []"
4.2,0.15,2,-15.2933460259408,-14.9864315408136
4.2,0.15,2.0025,-15.2792393182591,-14.9737543382061
4.2,0.15,2.005,-15.2651536047298,-14.9610933365723
4.2,0.15,2.0075,-15.2510889968198,-14.9484486654774
4.2,0.15,2.01,-15.2370456068577,-14.9358204513786
4.2,0.15,2.0125,-15.2230235480281,-14.9232088178172
4.2,0.15,2.015,-15.2090229343641,-14.9106138856007
4.2,0.15,2.0175,-15.1950438807411,-14.8980357729761
4.2,0.15,2.02,-15.1810865028692,-14.8854745957944
4.2,0.15,2.0225,-15.1671509172862,-14.8729304676672
4.2,0.15,2.025,-15.1532372413499,-14.8604035001157
4.2,0.15,2.0275,-15.1393455932309,-14.8478938027121
4.2,0.15,2.03,-15.1254760919041,-14.8354014832142
4.2,0.15,2.0325,-15.1116288571415,-14.822926647694
4.2,0.15,2.035,-15.0978040095032,-14.8104694006593
4.2,0.15,2.0375,-15.0840016703299,-14.7980298451698
4.2,0.15,2.04,-15.0702219617335,-14.7856080829478
4.2,0.15,2.0425,-15.056465006589,-14.7732042144834
4.2,0.15,2.045,-15.0427309285253,-14.7608183391346
4.2,0.15,2.0475,-15.0290198519164,-14.7484505552226
4.2,0.15,2.05,-15.0153319018716,-14.7361009601233
4.2,0.15,2.0525,-15.0016672042267,-14.7237696503533
4.2,0.15,2.055,-14.988025885534,-14.711456721653
4.2,0.15,2.0575,-14.9744080730527,-14.699162269065
4.2,0.15,2.06,-14.9608138947388,-14.6868863870094
4.2,0.15,2.0625,-14.9472434792351,-14.6746291693552
4.2,0.15,2.065,-14.9336969558609,-14.6623907094886
4.2,0.15,2.0675,-14.9201744546014,-14.6501711003783
4.2,0.15,2.07,-14.9066761060973,-14.6379704346374
4.2,0.15,2.0725,-14.893202041634,-14.6257888045832
4.2,0.15,2.075,-14.8797523931303,-14.6136263022934
4.2,0.15,2.0775,-14.8663272931279,-14.6014830196605
4.2,0.15,2.08,-14.8529268747796,-14.5893590484432
4.2,0.15,2.0825,-14.8395512718383,-14.5772544803163
4.2,0.15,2.085,-14.8262006186451,-14.5651694069173
4.2,0.15,2.0875,-14.8128750501179,-14.5531039198922
4.2,0.15,2.09,-14.7995747017395,-14.5410581109381
4.2,0.15,2.0925,-14.7862997095455,-14.5290320718451
4.2,0.15,2.095,-14.7730502101123,-14.5170258945352
4.2,0.15,2.0975,-14.7598263405449,-14.5050396711009
4.2,0.15,2.1,-14.7466282384644,-14.4930734938408
4.2,0.15,2.1025,-14.7334560419957,-14.4811274552952
4.2,0.15,2.105,-14.7203098897548,-14.4692016482785
4.2,0.15,2.1075,-14.7071899208362,-14.457296165912
4.2,0.15,2.11,-14.6940962747997,-14.4454111016543
4.2,0.15,2.1125,-14.6810290916582,-14.4335465493307
4.2,0.15,2.115,-14.6679885118641,-14.4217026031619
4.2,0.15,2.1175,-14.6549746762965,-14.409879357791
4.2,0.15,2.12,-14.6419877262478,-14.3980769083097
4.2,0.15,2.1225,-14.6290278034107,-14.3862953502838
4.2,0.15,2.125,-14.6160950498647,-14.3745347797776
4.2,0.15,2.1275,-14.6031896080629,-14.3627952933771
4.2,0.15,2.13,-14.5903116208183,-14.3510769882129
4.2,0.15,2.1325,-14.5774612312907,-14.3393799619821
4.2,0.15,2.135,-14.5646385829726,-14.3277043129695
4.2,0.15,2.1375,-14.5518438196765,-14.3160501400682
4.2,0.15,2.14,-14.5390770855202,-14.3044175427992
4.2,0.15,2.1425,-14.5263385249144,-14.2928066213312
4.2,0.15,2.145,-14.5136282825481,-14.2812174764988
4.2,0.15,2.1475,-14.5009465033757,-14.2696502098212
4.2,0.15,2.15,-14.488293332603,-14.2581049235198
4.2,0.15,2.1525,-14.4756689156737,-14.2465817205353
4.2,0.15,2.155,-14.4630733982562,-14.235080704545
4.2,0.15,2.1575,-14.4505069262295,-14.223601979979
4.2,0.15,2.16,-14.4379696456704,-14.2121456520367
4.2,0.15,2.1625,-14.4254617028398,-14.2007118267024
4.2,0.15,2.165,-14.4129832441694,-14.1893006107609
4.2,0.15,2.1675,-14.4005344162485,-14.177912111813
4.2,0.15,2.17,-14.388115365811,-14.1665464382907
4.2,0.15,2.1725,-14.3757262397223,-14.1552036994718
4.2,0.15,2.175,-14.3633671849666,-14.1438840054948
4.2,0.15,2.1775,-14.3510383486339,-14.1325874673736
4.2,0.15,2.18,-14.3387398779077,-14.1213141970117
4.2,0.15,2.1825,-14.3264719200522,-14.110064307217
4.2,0.15,2.185,-14.3142346224007,-14.0988379117157
4.2,0.15,2.1875,-14.302028132343,-14.0876351251667
4.2,0.15,2.19,-14.2898525973137,-14.076456063176
4.2,0.15,2.1925,-14.2777081647809,-14.0653008423109
4.2,0.15,2.195,-14.2655949822345,-14.054169580114
4.2,0.15,2.1975,-14.2535131971753,-14.0430623951178
4.2,0.15,2.2,-14.2414629571041,-14.0319794068592
4.2,0.15,2.2025,-14.2294444095115,-14.0209207358936
4.2,0.15,2.205,-14.2174577018671,-14.0098865038097
4.2,0.15,2.2075,-14.2055029816103,-13.9988768332444
4.2,0.15,2.21,-14.1935803961402,-13.9878918478976
4.2,0.15,2.2125,-14.1816900928072,-13.976931672547
4.2,0.15,2.215,-14.1698322189034,-13.9659964330639
4.2,0.15,2.2175,-14.1580069216549,-13.9550862564284
4.2,0.15,2.22,-14.1462143482138,-13.9442012707452
4.2,0.15,2.2225,-14.1344546456505,-13.9333416052599
4.2,0.15,2.225,-14.1227279609472,-13.9225073903749
4.2,0.15,2.2275,-14.1110344409911,-13.9116987576667
4.2,0.15,2.23,-14.0993742325687,-13.9009158399022
4.2,0.15,2.2325,-14.0877474823603,-13.8901587710568
4.2,0.15,2.235,-14.0761543369353,-13.8794276863318
4.2,0.15,2.2375,-14.0645949427484,-13.8687227221725
4.2,0.15,2.24,-14.0530694461355,-13.8580440162871
4.2,0.15,2.2425,-14.041577993311,-13.847391707666
4.2,0.15,2.245,-14.0301207303662,-13.8367659366008
4.2,0.15,2.2475,-14.0186978032669,-13.8261668447053
4.2,0.15,2.25,-14.0073093578536,-13.8155945749352
4.2,0.15,2.2525,-13.9959555398413,-13.8050492716105
4.2,0.15,2.255,-13.9846364948202,-13.7945310804363
4.2,0.15,2.2575,-13.9733523682577,-13.7840401485264
4.2,0.15,2.26,-13.9621033055012,-13.7735766244254
4.2,0.15,2.2625,-13.9508894517814,-13.7631406581336
4.2,0.15,2.265,-13.939710952217,-13.752732401131
4.2,0.15,2.2675,-13.9285679518204,-13.7423520064032
4.2,0.15,2.27,-13.917460595504,-13.731999628467
4.2,0.15,2.2725,-13.906389028088,-13.7216754233982
4.2,0.15,2.275,-13.8953533943093,-13.7113795488588
4.2,0.15,2.2775,-13.8843538388313,-13.7011121641265
4.2,0.15,2.28,-13.873390506255,-13.6908734301241
4.2,0.15,2.2825,-13.8624635411317,-13.6806635094504
4.2,0.15,2.285,-13.8515730879765,-13.6704825664122
4.2,0.15,2.2875,-13.8407192912834,-13.6603307670571
4.2,0.15,2.29,-13.8299022955416,-13.6502082792074
4.2,0.15,2.2925,-13.8191222452539,-13.6401152724957
4.2,0.15,2.295,-13.8083792849555,-13.6300519184012
4.2,0.15,2.2975,-13.7976735592356,-13.6200183902873
4.2,0.15,2.3,-13.7870052127596,-13.610014863441
4.2,0.15,2.3025,-13.7763743902935,-13.6000415151132
4.2,0.15,2.305,-13.76578123673,-13.5900985245603
4.2,0.15,2.3075,-13.7552258971164,-13.5801860730885
4.2,0.15,2.31,-13.744708516684,-13.5703043440979
4.2,0.15,2.3125,-13.7342292408804,-13.5604535231296
4.2,0.15,2.315,-13.7237882154025,-13.550633797914
4.2,0.15,2.3175,-13.7133855862327,-13.540845358421
4.2,0.15,2.32,-13.703021499677,-13.5310883969118
4.2,0.15,2.3225,-13.6926961024046,-13.5213631079929
4.2,0.15,2.325,-13.682409541491,-13.5116696886721
4.2,0.15,2.3275,-13.6721619644629,-13.5020083384165
4.2,0.15,2.33,-13.6619535193455,-13.4923792592129
4.2,0.15,2.3325,-13.6517843547126,-13.48278265563
4.2,0.15,2.335,-13.6416546197394,-13.4732187348833
4.2,0.15,2.3375,-13.6315644642585,-13.463687706903
4.2,0.15,2.34,-13.6215140388178,-13.4541897844034
4.2,0.15,2.3425,-13.6115034947424,-13.4447251829559
4.2,0.15,2.345,-13.6015329841993,-13.4352941210642
4.2,0.15,2.3475,-13.5916026602653,-13.4258968202433
4.2,0.15,2.35,-13.5817126769983,-13.4165335051004
4.2,0.15,2.3525,-13.5718631895122,-13.4072044034199
4.2,0.15,2.355,-13.5620543540554,-13.3979097462518
4.2,0.15,2.3575,-13.5522863280932,-13.3886497680029
4.2,0.15,2.36,-13.5425592703941,-13.3794247065319
4.2,0.15,2.3625,-13.5328733411199,-13.3702348032491
4.2,0.15,2.365,-13.5232287019209,-13.361080303219
4.2,0.15,2.3675,-13.5136255160343,-13.3519614552676
4.2,0.15,2.37,-13.5040639483887,-13.3428785120943
4.2,0.15,2.3725,-13.494544165712,-13.3338317303878
4.2,0.15,2.375,-13.4850663366453,-13.3248213709473
4.2,0.15,2.3775,-13.4756306318618,-13.3158476988082
4.2,0.15,2.38,-13.4662372241906,-13.3069109833738
4.2,0.15,2.3825,-13.4568862887468,-13.2980114985516
4.2,0.15,2.385,-13.4475780030677,-13.289149522896
4.2,0.15,2.3875,-13.4383125472539,-13.2803253397566
4.2,0.15,2.39,-13.4290901041183,-13.2715392374333
4.2,0.15,2.3925,-13.4199108593413,-13.2627915093375
4.2,0.15,2.395,-13.4107750016321,-13.2540824541602
4.2,0.15,2.3975,-13.401682722899,-13.2454123760483
4.2,0.15,2.4,-13.3926342184258,-13.2367815847871
4.2,0.15,2.4025,-13.3836296870568,-13.2281903959921
4.2,0.15,2.405,-13.3746693313904,-13.2196391313085
4.2,0.15,2.4075,-13.365753357981,-13.2111281186195
4.2,0.15,2.41,-13.3568819775499,-13.2026576922644
4.2,0.15,2.4125,-13.3480554052062,-13.1942281932659
4.2,0.15,2.415,-13.3392738606771,-13.1858399695678
4.2,0.15,2.4175,-13.3305375685496,-13.177493376284
4.2,0.15,2.42,-13.3218467585218,-13.1691887759576
4.2,0.15,2.4225,-13.3132016656668,-13.1609265388334
4.2,0.15,2.425,-13.3046025307081,-13.152707043142
4.2,0.15,2.4275,-13.2960496003076,-13.1445306753971
4.2,0.15,2.43,-13.2875431273673,-13.1363978307075
4.2,0.15,2.4325,-13.2790833713442,-13.1283089131028
4.2,0.15,2.435,-13.2706705985804,-13.1202643358753
4.2,0.15,2.4375,-13.2623050826482,-13.1122645219379
4.2,0.15,2.44,-13.2539871047112,-13.1043099041992
4.2,0.15,2.4425,-13.2457169539031,-13.0964009259569
4.2,0.15,2.445,-13.2374949277232,-13.0885380413104
4.2,0.15,2.4475,-13.2293213324517,-13.0807217155933
4.2,0.15,2.45,-13.2211964835839,-13.0729524258278
4.2,0.15,2.4525,-13.2131207062863,-13.0652306612015
4.2,0.15,2.455,-13.2050943358735,-13.0575569235684
4.2,0.15,2.4575,-13.197117718309,-13.0499317279746
4.2,0.15,2.46,-13.1891912107301,-13.0423556032114
4.2,0.15,2.4625,-13.181315181999,-13.0348290923969
4.2,0.15,2.465,-13.1734900132806,-13.0273527535872
4.2,0.15,2.4675,-13.1657160986494,-13.0199271604198
4.2,0.15,2.47,-13.1579938457268,-13.0125529027911
4.2,0.15,2.4725,-13.1503236763509,-13.0052305875692
4.2,0.15,2.475,-13.1427060272793,-12.9979608393452
4.2,0.15,2.4775,-13.1351413509296,-12.9907443012253
4.2,0.15,2.48,-13.1276301161566,-12.9835816356654
4.2,0.15,2.4825,-13.120172809071,-12.9764735253518
4.2,0.15,2.485,-13.1127699339009,-12.9694206741305
4.2,0.15,2.4875,-13.1054220138984,-12.9624238079882
4.2,0.15,2.49,-13.098129592295,-12.955483676089
4.2,0.15,2.4925,-13.090893233309,-12.9486010518693
4.2,0.15,2.495,-13.0837135232064,-12.9417767341958
4.2,0.15,2.4975,-13.0765910714207,-12.9350115485905
4.2,0.15,2.5,-13.0695265117348,-12.9283063485268
4.2,0.15,2.5025,-13.0625205035283,-12.9216620168024
4.2,0.15,2.505,-13.0555737330954,-12.9150794669932
4.2,0.15,2.5075,-13.0486869150373,-12.9085596449949
4.2,0.15,2.51,-13.0418607937352,-12.9021035306578
4.2,0.15,2.5125,-13.0350961449078,-12.8957121395217
4.2,0.15,2.515,-13.0283937772602,-12.8893865246576
4.2,0.15,2.5175,-13.0217545342309,-12.8831277786247
4.2,0.15,2.52,-13.0151792958418,-12.8769370355503
4.2,0.15,2.5225,-13.0086689806603,-12.8708154733427
4.2,0.15,2.525,-13.0022245478812,-12.8647643160454
4.2,0.15,2.5275,-12.9958469995361,-12.8587848363455
4.2,0.15,2.53,-12.9895373828399,-12.8528783582455
4.2,0.15,2.5325,-12.9832967926858,-12.8470462599134
4.2,0.15,2.535,-12.977126374297,-12.8412899767234
4.2,0.15,2.5375,-12.9710273260503,-12.835611004503
4.2,0.15,2.54,-12.9650009024814,-12.8300109030028
4.2,0.15,2.5425,-12.9590484174882,-12.8244912996067
4.2,0.15,2.545,-12.9531712477457,-12.8190538933018
4.2,0.15,2.5475,-12.947370836351,-12.8137004589309
4.2,0.15,2.55,-12.9416486967144,-12.808432851749
4.2,0.15,2.5525,-12.9360064167178,-12.803253012311
4.2,0.15,2.555,-12.930445663162,-12.7981629717185
4.2,0.15,2.5575,-12.9249681865258,-12.7931648572558
4.2,0.15,2.56,-12.9195758260633,-12.7882608984514
4.2,0.15,2.5625,-12.9142705152677,-12.7834534335995
4.2,0.15,2.565,-12.9090542877331,-12.7787449167855
4.2,0.15,2.5675,-12.9039292834469,-12.77413792546
4.2,0.15,2.57,-12.8988977555528,-12.7696351686118
4.2,0.15,2.5725,-12.8939620776233,-12.7652394955955
4.2,0.15,2.575,-12.889124751489,-12.7609539056766
4.2,0.15,2.5775,-12.8843884156731,-12.7567815583609
4.2,0.15,2.58,-12.8797558544889,-12.7527257845863
4.2,0.15,2.5825,-12.8752300078584,-12.7487900988596
4.2,0.15,2.585,-12.8708139819227,-12.7449782124346
4.2,0.15,2.5875,-12.8665110605172,-12.7412940476351
4.2,0.15,2.59,-12.8623247175954,-12.7377417534408
4.2,0.15,2.5925,-12.8582586306943,-12.7343257224676
4.2,0.15,2.595,-12.8543166955437,-12.7310506094891
4.2,0.15,2.5975,-12.8505030419335,-12.7279213516642
4.2,0.15,2.6,-12.8468220509675,-12.7249431906576
4.2,0.15,2.6025,-12.8432783738461,-12.7221216968595
4.2,0.15,2.605,-12.8398769523367,-12.7194627959431
4.2,0.15,2.6075,-12.8366230411117,-12.7169727980236
4.2,0.15,2.61,-12.8335222321531,-12.7146584297214
4.2,0.15,2.6125,-12.8305804814495,-12.7125268694698
4.2,0.15,2.615,-12.827804138239,-12.7105857864564
4.2,0.15,2.6175,-12.8251999770826,-12.7088433836393
4.2,0.15,2.62,-12.8227752330911,-12.7073084453422
4.2,0.15,2.6225,-12.8205376406686,-12.7059903900049
4.2,0.15,2.625,-12.8184954761871,-12.7048993287487
4.2,0.15,2.6275,-12.8166576050577,-12.7040461305165
4.2,0.15,2.63,-12.8150335337323,-12.7034424946579
4.2,0.15,2.6325,-12.8136334672408,-12.7031010319692
4.2,0.15,2.635,-12.8124683729548,-12.7030353553514
4.2,0.15,2.6375,-12.8115500513661,-12.7032601814386
4.2,0.15,2.64,-12.8108912147866,-12.7037914447677
4.2,0.15,2.6425,-12.8105055750036,-12.704646426323
4.2,0.15,2.645,-12.8104079410838,-12.7058438985982
4.2,0.15,2.6475,-12.8106143286982,-12.7074042896921
4.2,0.15,2.65,-12.8111420825514,-12.709349869395
4.2,0.15,2.6525,-12.8120100137443,-12.7117049607612
4.2,0.15,2.655,-12.8132385541929,-12.7144961813047
4.2,0.15,2.6575,-12.8148499305604,-12.7177527187362
4.2,0.15,2.66,-12.8168683605657,-12.7215066471093
4.2,0.15,2.6625,-12.8193202749968,-12.7257932904022
4.2,0.15,2.665,-12.8222345693163,-12.7306516419797
4.2,0.15,2.6675,-12.8256428893986,-12.7361248501311
4.2,0.15,2.67,-12.8295799567101,-12.7422607820411
4.2,0.15,2.6725,-12.8340839391503,-12.7491126812395
4.2,0.15,2.675,-12.8391968748439,-12.7567399369345
4.2,0.15,2.6775,-12.8449651574246,-12.7652089878493
4.2,0.15,2.68,-12.8514400928174,-12.7745943885063
4.2,0.15,2.6825,-12.8586785392246,-12.7849800726578
4.2,0.15,2.685,-12.8667436439723,-12.7964608571945
4.2,0.15,2.6875,-12.8757056930775,-12.809144240945
4.2,0.15,2.69,-12.8856430918283,-12.8231525671158
4.2,0.15,2.6925,-12.896643497243,-12.838625636776
4.2,0.15,2.695,-12.9088051258073,-12.8557238852398
4.2,0.15,2.6975,-12.9222382620301,-12.8746322654698
4.2,0.15,2.7,-12.9370669944463,-12.8955650255296
4.2,0.15,2.7025,-12.9534312045671,-12.9187716246022
4.2,0.15,2.705,-12.9714888288746,-12.9445441097123
4.2,0.15,2.7075,-12.9914184007215,-12.9732263809267
4.2,0.15,2.71,-13.0134218517238,-13.0052259177247
4.2,0.15,2.7125,-13.0377275001912,-13.0410287395655
4.2,0.15,2.715,-13.0645930585878,-13.081218652694
4.2,0.15,2.7175,-13.0943083200909,-13.1265022263537
4.2,0.15,2.72,-13.1271968778802,-13.1777414926607
4.2,0.15,2.7225,-13.1636156860098,-13.2359971427173
4.2,0.15,2.725,-13.2039503002393,-13.3025860883486
4.2,0.15,2.7275,-13.2486018993868,-13.3791587878434
4.2,0.15,2.73,-13.2979590538523,-13.4678038076231
4.2,0.15,2.7325,-13.3523415127263,-13.5711897270638
4.2,0.15,2.735,-13.4118928628726,-13.6927573142293
4.2,0.15,2.7375,-13.4763798041972,-13.8369762493556
4.2,0.15,2.74,-13.5448209452729,-14.0096750406187
4.2,0.15,2.7425,-13.6148060544556,-14.2184233424331
4.2,0.15,2.745,-13.681263642679,-14.4728427999228
4.2,0.15,2.7475,-13.7342924920276,-14.7843998967246
4.2,0.15,2.75,-13.7555910728884,-15.1642749828664
4.2,0.15,2.7525,-13.71346319475,-15.6152150456542
4.2,0.15,2.755,-13.5587435896807,-16.1069157798244
4.2,0.15,2.7575,-13.230458787984,-16.5178296304337
4.2,0.15,2.76,-12.6874427771801,-16.567378111333
4.2,0.15,2.7625,-11.9670509568415,-15.9478566165328
4.2,0.15,2.765,-11.2142272034082,-14.7561810938439
4.2,0.15,2.7675,-10.6084370434653,-13.4835616434835
4.2,0.15,2.77,-10.2437865302436,-12.4928680234809
4.2,0.15,2.7725,-10.0990676671733,-11.8515438627122
4.2,0.15,2.775,-10.1001164440943,-11.4807084703532
4.2,0.15,2.7775,-10.1784268633246,-11.283809732532
4.2,0.15,2.78,-10.289434890021,-11.189756970138
4.2,0.15,2.7825,-10.408803912397,-11.154193538165
4.2,0.15,2.785,-10.5247086931608,-11.1511508795661
4.2,0.15,2.7875,-10.6320981635683,-11.165750105723
4.2,0.15,2.79,-10.7293305455186,-11.1895013389759
4.2,0.15,2.7925,-10.8163802487724,-11.2175549772878
4.2,0.15,2.795,-10.8939260742657,-11.2471431195846
4.2,0.15,2.7975,-10.9629019081709,-11.2766992019582
4.2,0.15,2.8,-11.0242831163598,-11.3053567783229
4.2,0.15,2.8025,-11.0789911404035,-11.3326605474694
4.2,0.15,2.805,-11.127856454731,-11.3583974509044
4.2,0.15,2.8075,-11.1716096142207,-11.3824966736256
4.2,0.15,2.81,-11.210885155678,-11.4049697962411
4.2,0.15,2.8125,-11.2462307554872,-11.4258746959834
4.2,0.15,2.815,-11.2781179317167,-11.4452936879793
4.2,0.15,2.8175,-11.3069525539364,-11.4633203069503
4.2,0.15,2.82,-11.3330844208823,-11.4800513821631
4.2,0.15,2.8225,-11.3568156604201,-11.4955823776331
4.2,0.15,2.825,-11.3784079422456,-11.5100047540381
4.2,0.15,2.8275,-11.3980885977344,-11.5234045819699
4.2,0.15,2.83,-11.4160557789507,-11.5358619253255
4.2,0.15,2.8325,-11.4324827941506,-11.5474506924395
4.2,0.15,2.835,-11.4475217478187,-11.5582387642701
4.2,0.15,2.8375,-11.4613065983401,-11.5682882793507
4.2,0.15,2.84,-11.4739557302727,-11.5776559999109
4.2,0.15,2.8425,-11.4855741229097,-11.5863937120845
4.2,0.15,2.845,-11.4962551832439,-11.5945486313794
4.2,0.15,2.8475,-11.5060822997863,-11.6021637962748
4.2,0.15,2.85,-11.5151301638849,-11.6092784402853
4.2,0.15,2.8525,-11.5234658970396,-11.6159283375722
4.2,0.15,2.855,-11.5311500159893,-11.6221461201553
4.2,0.15,2.8575,-11.5382372618259,-11.6279615666028
4.2,0.15,2.86,-11.5447773148699,-11.6334018631558
4.2,0.15,2.8625,-11.5508154133388,-11.638491838842
4.2,0.15,2.865,-11.5563928908057,-11.6432541764252
4.2,0.15,2.8675,-11.5615476449627,-11.6477096011299
4.2,0.15,2.87,-11.5663145481576,-11.6518770490602
4.2,0.15,2.8725,-11.5707258084976,-11.6557738171332
4.2,0.15,2.875,-11.5748112889247,-11.6594156962121
4.2,0.15,2.8775,-11.5785987905243,-11.662817088966
4.2,0.15,2.88,-11.5821143053737,-11.6659911138189
4.2,0.15,2.8825,-11.5853822434454,-11.6689496961831
4.2,0.15,2.885,-11.5884256374086,-11.6717036480088
4.2,0.15,2.8875,-11.5912663286067,-11.6742627365226
4.2,0.15,2.89,-11.5939251369949,-11.6766357428719
4.2,0.15,2.8925,-11.5964220173873,-11.6788305112429
4.2,0.15,2.895,-11.5987762039623,-11.6808539888667
4.2,0.15,2.8975,-11.6010063445877,-11.6827122571814
4.2,0.15,2.9,-11.6031306261302,-11.6844105542577
4.2,0.15,2.9025,-11.6051668914743,-11.6859532884348
4.2,0.15,2.905,-11.6071327484625,-11.6873440429342
4.2,0.15,2.9075,-11.609045670322,-11.6885855710208
4.2,0.15,2.91,-11.6109230863048,-11.6896797810576
4.2,0.15,2.9125,-11.6127824601345,-11.6906277105359
4.2,0.15,2.915,-11.6146413522912,-11.6914294878565
4.2,0.15,2.9175,-11.6165174599798,-11.6920842802577
4.2,0.15,2.92,-11.6184286255384,-11.6925902258342
4.2,0.15,2.9225,-11.6203927996407,-11.6929443470156
4.2,0.15,2.925,-11.6224279393394,-11.6931424421685
4.2,0.15,2.9275,-11.6245518119195,-11.6931789510767
4.2,0.15,2.93,-11.6267816624047,-11.6930467889078
4.2,0.15,2.9325,-11.6291336835287,-11.6927371417842
4.2,0.15,2.935,-11.6316221993104,-11.6922392151422
4.2,0.15,2.9375,-11.6342584330663,-11.691539923531
4.2,0.15,2.94,-11.6370486720146,-11.6906235071423
4.2,0.15,2.9425,-11.6399915553761,-11.6894710558869
4.2,0.15,2.945,-11.6430740898366,-11.6880599158001
4.2,0.15,2.9475,-11.6462658208,-11.6863629443566
4.2,0.15,2.95,-11.6495103432901,-11.6843475700174
4.2,0.15,2.9525,-11.6527130089354,-11.6819745957103
4.2,0.15,2.955,-11.6557232798068,-11.6791966640488
4.2,0.15,2.9575,-11.6583097568239,-11.6759562710384
4.2,0.15,2.96,-11.6601256730091,-11.672183170474
4.2,0.15,2.9625,-11.6606631116883,-11.6677909465271
4.2,0.15,2.965,-11.6591965465933,-11.6626724368726
4.2,0.15,2.9675,-11.6547227532002,-11.6566935469673
4.2,0.15,2.97,-11.6459182779382,-11.6496847822686
4.2,0.15,2.9725,-11.6311609933469,-11.641429498693
4.2,0.15,2.975,-11.6086959260672,-11.6316473678139
4.2,0.15,2.9775,-11.5770429203498,-11.6199707702885
4.2,0.15,2.98,-11.5356818929424,-11.605910613403
4.2,0.15,2.9825,-11.4858377141406,-11.5888062005007
4.2,0.15,2.985,-11.4308802838222,-11.5677510405072
4.2,0.15,2.9875,-11.3757971526425,-11.5414829731426
4.2,0.15,2.99,-11.3257363137922,-11.5082244625753
4.2,0.15,2.9925,-11.284416223744,-11.4654658828657
4.2,0.15,2.995,-11.253342852068,-11.4097347625714
4.2,0.15,2.9975,-11.2320636068497,-11.3366103220575
4.2,0.15,3,-11.2189758230005,-11.2420346087771
4.2,0.16,2,-15.1920892205238,-14.9738327934411
4.2,0.16,2.0025,-15.180322801257,-14.9624530221737
4.2,0.16,2.005,-15.1685012097575,-14.9510973161145
4.2,0.16,2.0075,-15.1566268633633,-14.9397656151032
4.2,0.16,2.01,-15.1447022871224,-14.9284578594305
4.2,0.16,2.0125,-15.1327301008129,-14.9171739898414
4.2,0.16,2.015,-15.1207130058876,-14.9059139475386
4.2,0.16,2.0175,-15.1086537724496,-14.8946776741859
4.2,0.16,2.02,-15.096555226363,-14.8834651119116
4.2,0.16,2.0225,-15.0844202365928,-14.872276203312
4.2,0.16,2.025,-15.0722517028623,-14.8611108914552
4.2,0.16,2.0275,-15.0600525437075,-14.8499691198838
4.2,0.16,2.03,-15.0478256849989,-14.8388508326194
4.2,0.16,2.0325,-15.0355740489925,-14.8277559741656
4.2,0.16,2.035,-15.0233005439603,-14.8166844895118
4.2,0.16,2.0375,-15.011008054445,-14.8056363241367
4.2,0.16,2.04,-14.9986994321717,-14.7946114240123
4.2,0.16,2.0425,-14.9863774876403,-14.7836097356072
4.2,0.16,2.045,-14.9740449824162,-14.7726312058905
4.2,0.16,2.0475,-14.9617046221273,-14.761675782336
4.2,0.16,2.05,-14.9493590501677,-14.7507434129252
4.2,0.16,2.0525,-14.9370108421035,-14.7398340461517
4.2,0.16,2.055,-14.9246625007675,-14.7289476310253
4.2,0.16,2.0575,-14.9123164520272,-14.7180841170752
4.2,0.16,2.06,-14.8999750412036,-14.7072434543548
4.2,0.16,2.0625,-14.8876405301152,-14.696425593445
4.2,0.16,2.065,-14.8753150947182,-14.6856304854589
4.2,0.16,2.0675,-14.8630008233117,-14.6748580820454
4.2,0.16,2.07,-14.8506997152737,-14.6641083353937
4.2,0.16,2.0725,-14.8384136802937,-14.6533811982373
4.2,0.16,2.075,-14.8261445380644,-14.6426766238586
4.2,0.16,2.0775,-14.8138940183989,-14.6319945660926
4.2,0.16,2.08,-14.8016637617332,-14.6213349793321
4.2,0.16,2.0825,-14.7894553199814,-14.6106978185311
4.2,0.16,2.085,-14.7772701577065,-14.6000830392104
4.2,0.16,2.0875,-14.7651096535727,-14.5894905974613
4.2,0.16,2.09,-14.7529751020465,-14.5789204499504
4.2,0.16,2.0925,-14.740867715314,-14.5683725539245
4.2,0.16,2.095,-14.728788625386,-14.5578468672151
4.2,0.16,2.0975,-14.7167388863595,-14.5473433482433
4.2,0.16,2.1,-14.7047194768123,-14.5368619560246
4.2,0.16,2.1025,-14.6927313023033,-14.5264026501738
4.2,0.16,2.105,-14.6807751979559,-14.51596539091
4.2,0.16,2.1075,-14.6688519311037,-14.5055501390618
4.2,0.16,2.11,-14.6569622039792,-14.4951568560723
4.2,0.16,2.1125,-14.6451066564264,-14.4847855040044
4.2,0.16,2.115,-14.6332858686229,-14.4744360455459
4.2,0.16,2.1175,-14.621500363796,-14.4641084440154
4.2,0.16,2.12,-14.6097506109202,-14.4538026633673
4.2,0.16,2.1225,-14.5980370273857,-14.4435186681972
4.2,0.16,2.125,-14.5863599816259,-14.4332564237484
4.2,0.16,2.1275,-14.5747197956977,-14.4230158959166
4.2,0.16,2.13,-14.5631167478054,-14.4127970512565
4.2,0.16,2.1325,-14.5515510747631,-14.4025998569874
4.2,0.16,2.135,-14.5400229743892,-14.3924242809991
4.2,0.16,2.1375,-14.5285326078302,-14.3822702918586
4.2,0.16,2.14,-14.5170801018095,-14.3721378588155
4.2,0.16,2.1425,-14.5056655507985,-14.3620269518093
4.2,0.16,2.145,-14.4942890191091,-14.351937541475
