"$e_r []","TraceW [mm]","Freq [GHz]","re(Zin) []","im(Zin) []"
4.2,0.15,2.2875,38.6028678898839,-14.2367032994221
4.2,0.15,2.29,38.57251422941,-14.2335494162043
4.2,0.15,2.2925,38.5421894422961,-14.2302924655573
4.2,0.15,2.295,38.5118943420091,-14.2269325748831
4.2,0.15,2.2975,38.4816297438462,-14.2234698781548
4.2,0.15,2.3,38.4513964649128,-14.2199045158867
4.2,0.15,2.3025,38.4211953241039,-14.2162366351033
4.2,0.15,2.305,38.3910271420874,-14.2124663893045
4.2,0.15,2.3075,38.360892741291,-14.2085939384286
4.2,0.15,2.31,38.3307929458929,-14.2046194488132
4.2,0.15,2.3125,38.3007285818144,-14.2005430931525
4.2,0.15,2.315,38.2707004767179,-14.1963650504528
4.2,0.15,2.3175,38.2407094600071,-14.1920855059846
4.2,0.15,2.32,38.2107563628317,-14.1877046512325
4.2,0.15,2.3225,38.1808420180968,-14.1832226838417
4.2,0.15,2.325,38.1509672604756,-14.1786398075627
4.2,0.15,2.3275,38.1211329264273,-14.1739562321921
4.2,0.15,2.33,38.0913398542194,-14.1691721735112
4.2,0.15,2.3325,38.0615888839551,-14.1642878532218
4.2,0.15,2.335,38.0318808576061,-14.1593034988784
4.2,0.15,2.3375,38.0022166190502,-14.1542193438186
4.2,0.15,2.34,37.9725970141151,-14.1490356270891
4.2,0.15,2.3425,37.9430228906279,-14.1437525933704
4.2,0.15,2.345,37.913495098471,-14.138370492897
4.2,0.15,2.3475,37.8840144896439,-14.1328895813756
4.2,0.15,2.35,37.8545819183326,-14.1273101198992
4.2,0.15,2.3525,37.825198240985,-14.1216323748595
4.2,0.15,2.355,37.795864316395,-14.1158566178551
4.2,0.15,2.3575,37.7665810057925,-14.1099831255966
4.2,0.15,2.36,37.7373491729435,-14.1040121798089
4.2,0.15,2.3625,37.7081696842565,-14.0979440671305
4.2,0.15,2.365,37.6790434088996,-14.0917790790085
4.2,0.15,2.3675,37.6499712189248,-14.0855175115917
4.2,0.15,2.37,37.6209539894036,-14.0791596656192
4.2,0.15,2.3725,37.5919925985712,-14.0727058463062
4.2,0.15,2.375,37.5630879279817,-14.0661563632266
4.2,0.15,2.3775,37.5342408626746,-14.0595115301914
4.2,0.15,2.38,37.5054522913511,-14.0527716651246
4.2,0.15,2.3825,37.4767231065642,-14.0459370899345
4.2,0.15,2.385,37.4480542049196,-14.0390081303825
4.2,0.15,2.3875,37.4194464872904,-14.0319851159477
4.2,0.15,2.39,37.3909008590444,-14.0248683796875
4.2,0.15,2.3925,37.362418230287,-14.0176582580957
4.2,0.15,2.395,37.3339995161171,-14.0103550909549
4.2,0.15,2.3975,37.3056456368996,-14.0029592211876
4.2,0.15,2.4,37.2773575185537,-13.9954709947007
4.2,0.15,2.4025,37.2491360928576,-13.9878907602283
4.2,0.15,2.405,37.2209822977719,-13.9802188691693
4.2,0.15,2.4075,37.1928970777799,-13.972455675421
4.2,0.15,2.41,37.1648813842491,-13.9646015352088
4.2,0.15,2.4125,37.1369361758113,-13.956656806912
4.2,0.15,2.415,37.1090624187647,-13.9486218508844
4.2,0.15,2.4175,37.0812610874983,-13.9404970292715
4.2,0.15,2.42,37.0535331649391,-13.9322827058223
4.2,0.15,2.4225,37.0258796430245,-13.9239792456973
4.2,0.15,2.425,36.998301523199,-13.9155870152715
4.2,0.15,2.4275,36.9707998169396,-13.9071063819325
4.2,0.15,2.43,36.9433755463078,-13.8985377138742
4.2,0.15,2.4325,36.9160297445319,-13.8898813798849
4.2,0.15,2.435,36.8887634566208,-13.8811377491306
4.2,0.15,2.4375,36.8615777400101,-13.8723071909336
4.2,0.15,2.44,36.8344736652424,-13.8633900745446
4.2,0.15,2.4425,36.8074523166844,-13.8543867689102
4.2,0.15,2.445,36.7805147932816,-13.8452976424346
4.2,0.15,2.4475,36.7536622093537,-13.8361230627353
4.2,0.15,2.45,36.7268956954316,-13.8268633963931
4.2,0.15,2.4525,36.7002163991394,-13.8175190086957
4.2,0.15,2.455,36.673625486123,-13.8080902633752
4.2,0.15,2.4575,36.6471241410291,-13.7985775223391
4.2,0.15,2.46,36.620713568535,-13.7889811453951
4.2,0.15,2.4625,36.5943949944352,-13.7793014899676
4.2,0.15,2.465,36.5681696667854,-13.7695389108094
4.2,0.15,2.4675,36.5420388571082,-13.7596937597035
4.2,0.15,2.47,36.5160038616645,-13.74976638516
4.2,0.15,2.4725,36.4900660027935,-13.7397571321029
4.2,0.15,2.475,36.4642266303256,-13.7296663415509
4.2,0.15,2.4775,36.4384871230737,-13.7194943502883
4.2,0.15,2.48,36.4128488904049,-13.7092414905286
4.2,0.15,2.4825,36.3873133739008,-13.6989080895688
4.2,0.15,2.485,36.361882049109,-13.6884944694342
4.2,0.15,2.4875,36.3365564273932,-13.678000946515
4.2,0.15,2.49,36.3113380578872,-13.6674278311921
4.2,0.15,2.4925,36.2862285295597,-13.6567754274534
4.2,0.15,2.495,36.2612294733965,-13.6460440325001
4.2,0.15,2.4975,36.2363425647085,-13.6352339363414
4.2,0.15,2.5,36.2115695255728,-13.6243454213797
4.2,0.15,2.5025,36.1869121274161,-13.6133787619835
4.2,0.15,2.505,36.1623721937499,-13.6023342240486
4.2,0.15,2.5075,36.1379516030669,-13.5912120645484
4.2,0.15,2.51,36.1136522919112,-13.5800125310709
4.2,0.15,2.5125,36.0894762581318,-13.5687358613436
4.2,0.15,2.515,36.0654255643349,-13.5573822827456
4.2,0.15,2.5175,36.0415023415463,-13.5459520118063
4.2,0.15,2.52,36.0177087931002,-13.534445253691
4.2,0.15,2.5225,35.9940471987705,-13.5228622016724
4.2,0.15,2.525,35.9705199191618,-13.5112030365883
4.2,0.15,2.5275,35.9471294003791,-13.4994679262862
4.2,0.15,2.53,35.9238781789967,-13.4876570250518
4.2,0.15,2.5325,35.9007688873494,-13.4757704730256
4.2,0.15,2.535,35.877804259169,-13.4638083956038
4.2,0.15,2.5375,35.8549871355939,-13.4517709028254
4.2,0.15,2.54,35.8323204715796,-13.4396580887465
4.2,0.15,2.5425,35.8098073427421,-13.4274700308004
4.2,0.15,2.545,35.7874509526676,-13.4152067891453
4.2,0.15,2.5475,35.7652546407272,-13.4028684059999
4.2,0.15,2.55,35.743221890436,-13.3904549049684
4.2,0.15,2.5525,35.7213563384018,-13.3779662903558
4.2,0.15,2.555,35.6996617839129,-13.3654025464748
4.2,0.15,2.5575,35.6781421992172,-13.3527636369475
4.2,0.15,2.56,35.6568017405528,-13.3400495040031
4.2,0.15,2.5625,35.6356447599937,-13.3272600677755
4.2,0.15,2.565,35.6146758181818,-13.3143952256038
4.2,0.15,2.5675,35.593899698024,-13.3014548513416
4.2,0.15,2.57,35.5733214194388,-13.2884387946778
4.2,0.15,2.5725,35.5529462552498,-13.2753468804784
4.2,0.15,2.575,35.5327797483288,-13.2621789081539
4.2,0.15,2.5775,35.5128277301057,-13.2489346510641
4.2,0.15,2.58,35.4930963405738,-13.2356138559687
4.2,0.15,2.5825,35.4735920499326,-13.2222162425375
4.2,0.15,2.585,35.4543216820255,-13.2087415029354
4.2,0.15,2.5875,35.4352924397503,-13.1951893014993
4.2,0.15,2.59,35.4165119326361,-13.181559274528
4.2,0.15,2.5925,35.3979882068064,-13.1678510302107
4.2,0.15,2.595,35.3797297775707,-13.1540641487221
4.2,0.15,2.5975,35.3617456649184,-13.1401981825199
4.2,0.15,2.6,35.3440454322188,-13.1262526568844
4.2,0.15,2.6025,35.3266392284704,-13.11222707075
4.2,0.15,2.605,35.3095378344828,-13.0981208978846
4.2,0.15,2.6075,35.2927527134243,-13.0839335884843
4.2,0.15,2.61,35.2762960662225,-13.0696645712653
4.2,0.15,2.6125,35.2601808923689,-13.0553132561459
4.2,0.15,2.615,35.2444210567478,-13.0408790376329
4.2,0.15,2.6175,35.2290313631986,-13.0263612990451
4.2,0.15,2.62,35.2140276356087,-13.0117594177349
4.2,0.15,2.6225,35.1994268074511,-12.9970727714966
4.2,0.15,2.625,35.185247020804,-12.9823007463889
4.2,0.15,2.6275,35.1715077360387,-12.9674427462428
4.2,0.15,2.63,35.1582298535349,-12.9524982041793
4.2,0.15,2.6325,35.1454358489809,-12.9374665965265
4.2,0.15,2.635,35.1331499240502,-12.9223474596066
4.2,0.15,2.6375,35.1213981745191,-12.9071404099544
4.2,0.15,2.64,35.1102087782115,-12.8918451686538
4.2,0.15,2.6425,35.0996122055334,-12.8764615906152
4.2,0.15,2.645,35.089641455804,-12.8609896998004
4.2,0.15,2.6475,35.08033232312,-12.8454297316146
4.2,0.15,2.65,35.0717236961114,-12.8297821839588
4.2,0.15,2.6525,35.0638578966945,-12.8140478787699
4.2,0.15,2.655,35.0567810638132,-12.7982280362927
4.2,0.15,2.6575,35.0505435892285,-12.7823243648519
4.2,0.15,2.66,35.0452006136894,-12.7663391695491
4.2,0.15,2.6625,35.0408125933686,-12.7502754841344
4.2,0.15,2.665,35.0374459483063,-12.7341372313546
4.2,0.15,2.6675,35.035173806877,-12.7179294184095
4.2,0.15,2.67,35.0340768630563,-12.7016583758567
4.2,0.15,2.6725,35.0342443666451,-12.6853320504916
4.2,0.15,2.675,35.0357752707609,-12.6689603655641
4.2,0.15,2.6775,35.0387795660226,-12.6525556653609
4.2,0.15,2.68,35.0433798371952,-12.6361332659872
4.2,0.15,2.6825,35.0497130859243,-12.6197121404837
4.2,0.15,2.685,35.0579328730186,-12.6033157747545
4.2,0.15,2.6875,35.0682118460289,-12.5869732418792
4.2,0.15,2.69,35.0807447333353,-12.5707205572643
4.2,0.15,2.6925,35.0957519054539,-12.5546023971741
4.2,0.15,2.695,35.1134836289609,-12.5386742905246
4.2,0.15,2.6975,35.1342251697648,-12.5230054313211
4.2,0.15,2.7,35.158302942314,-12.5076823110123
4.2,0.15,2.7025,35.1860919520772,-12.4928134424611
4.2,0.15,2.705,35.2180248432263,-12.4785355493095
4.2,0.15,2.7075,35.2546029454196,-12.465021739776
4.2,0.15,2.71,35.2964098169082,-12.4524923928164
4.2,0.15,2.7125,35.3441279098056,-12.4412297882287
4.2,0.15,2.715,35.3985591397704,-12.4315979586866
4.2,0.15,2.7175,35.4606503245794,-12.4240699056754
4.2,0.15,2.72,35.5315246507648,-12.4192653208511
4.2,0.15,2.7225,35.6125204952388,-12.4180034774386
4.2,0.15,2.725,35.7052389728505,-12.4213783052661
4.2,0.15,2.7275,35.8116012803749,-12.430866327519
4.2,0.15,2.73,35.9339157756742,-12.4484839121444
4.2,0.15,2.7325,36.0749517089375,-12.4770194591188
4.2,0.15,2.735,36.2380093165658,-12.5203807333318
4.2,0.15,2.7375,36.4269596167557,-12.5841205878893
4.2,0.15,2.74,36.646190867275,-12.6762396889075
4.2,0.15,2.7425,36.9003186922779,-12.8084152112539
4.2,0.15,2.745,37.193342854547,-12.9978618918646
4.2,0.15,2.7475,37.5265622527328,-13.2700438608634
4.2,0.15,2.75,37.8938063227184,-13.6622156337763
4.2,0.15,2.7525,38.2712094244302,-14.2266041631788
4.2,0.15,2.755,38.5973271210757,-15.028127707177
4.2,0.15,2.7575,38.7421242217193,-16.1216638510124
4.2,0.15,2.76,38.4856456897682,-17.4807141136035
4.2,0.15,2.7625,37.5864748789194,-18.8751992325412
4.2,0.15,2.765,36.0231379906425,-19.8480030873856
4.2,0.15,2.7675,34.187597041642,-20.0230053489921
4.2,0.15,2.77,32.6157541119239,-19.46501393962
4.2,0.15,2.7725,31.5622449914548,-18.5445541286963
4.2,0.15,2.775,30.9776513239888,-17.5828236054799
4.2,0.15,2.7775,30.7099787686693,-16.7318017080492
4.2,0.15,2.78,30.6275833269331,-16.0284959231181
4.2,0.15,2.7825,30.6445845343268,-15.4614168164376
4.2,0.15,2.785,30.7109680270217,-15.0059569041363
4.2,0.15,2.7875,30.7990747933519,-14.6379613898491
4.2,0.15,2.79,30.8940553108494,-14.3375170325663
4.2,0.15,2.7925,30.9881646083715,-14.0892119235538
4.2,0.15,2.795,31.0775497450342,-13.8813917694797
4.2,0.15,2.7975,31.1604760949997,-13.7052927035881
4.2,0.15,2.8,31.2363512872068,-13.5543049927218
4.2,0.15,2.8025,31.3051866802526,-13.4234077753582
4.2,0.15,2.805,31.3672993580572,-13.3087520154425
4.2,0.15,2.8075,31.423147307883,-13.2073573562638
4.2,0.15,2.81,31.4732389623307,-13.1168924275397
4.2,0.15,2.8125,31.5180845536483,-13.0355151320266
4.2,0.15,2.815,31.5581710652213,-12.9617557915044
4.2,0.15,2.8175,31.5939504805385,-12.8944309552414
4.2,0.15,2.82,31.6258354551952,-12.8325792548076
4.2,0.15,2.8225,31.6541990418806,-12.7754132227054
4.2,0.15,2.825,31.6793765313354,-12.7222827652476
4.2,0.15,2.8275,31.7016682998861,-12.6726472177406
4.2,0.15,2.83,31.7213430354228,-12.6260537759504
4.2,0.15,2.8325,31.7386409946193,-12.5821207067448
4.2,0.15,2.835,31.7537771081627,-12.5405241718381
4.2,0.15,2.8375,31.7669438459309,-12.5009878059828
4.2,0.15,2.84,31.7783138085737,-12.4632744119548
4.2,0.15,2.8425,31.7880420423836,-12.4271792948606
4.2,0.15,2.845,31.7962680905476,-12.3925248753357
4.2,0.15,2.8475,31.8031178017155,-12.3591563074202
4.2,0.15,2.85,31.8087049198426,-12.3269378908991
4.2,0.15,2.8525,31.8131324795612,-12.2957501157712
4.2,0.15,2.855,31.8164940301784,-12.2654872125861
4.2,0.15,2.8575,31.8188747095246,-12.2360551097617
4.2,0.15,2.86,31.8203521867297,-12.2073697198983
4.2,0.15,2.8625,31.8209974908218,-12.1793554931764
4.2,0.15,2.865,31.8208757399636,-12.1519441883396
4.2,0.15,2.8675,31.8200467842233,-12.1250738214141
4.2,0.15,2.87,31.8185657730473,-12.098687759837
4.2,0.15,2.8725,31.8164836570627,-12.0727339355636
4.2,0.15,2.875,31.8138476324709,-12.0471641553338
4.2,0.15,2.8775,31.8107015350841,-12.0219334899094
4.2,0.15,2.88,31.8070861899861,-11.9969997269154
4.2,0.15,2.8825,31.8030397218315,-11.9723228741185
4.2,0.15,2.885,31.7985978299197,-11.9478647016472
4.2,0.15,2.8875,31.7937940313572,-11.923588312903
4.2,0.15,2.89,31.7886598748314,-11.8994577347779
4.2,0.15,2.8925,31.7832251267241,-11.8754375183432
4.2,0.15,2.895,31.7775179304583,-11.8514923414108
4.2,0.15,2.8975,31.7715649390604,-11.827586604331
4.2,0.15,2.9,31.7653914198638,-11.8036840100527
4.2,0.15,2.9025,31.7590213290224,-11.7797471188497
4.2,0.15,2.905,31.7524773519415,-11.7557368671659
4.2,0.15,2.9075,31.7457809037529,-11.7316120387351
4.2,0.15,2.91,31.7389520813894,-11.7073286744424
4.2,0.15,2.9125,31.7320095554246,-11.6828394052658
4.2,0.15,2.915,31.724970385324,-11.6580926900268
4.2,0.15,2.9175,31.7178497356693,-11.6330319365445
4.2,0.15,2.92,31.710660462652,-11.60759448113
4.2,0.15,2.9225,31.7034125288568,-11.5817103972294
4.2,0.15,2.925,31.6961121888532,-11.5553010996246
4.2,0.15,2.9275,31.6887608667412,-11.5282777063611
4.2,0.15,2.93,31.6813536171881,-11.5005391173729
4.2,0.15,2.9325,31.6738770203976,-11.4719697682731
4.2,0.15,2.935,31.666306304322,-11.4424370230059
4.2,0.15,2.9375,31.658601408102,-11.4117881854019
4.2,0.15,2.94,31.6507015909844,-11.3798471466095
4.2,0.15,2.9425,31.6425180404909,-11.3464107593206
4.2,0.15,2.945,31.6339237305202,-11.3112451688391
4.2,0.15,2.9475,31.6247395137172,-11.2740825831664
4.2,0.15,2.95,31.6147151009989,-11.2346194092393
4.2,0.15,2.9525,31.6035032099168,-11.1925174504863
4.2,0.15,2.955,31.5906248461774,-11.147411156387
4.2,0.15,2.9575,31.5754236672683,-11.0989260370241
4.2,0.15,2.96,31.5570082355436,-11.0467166849234
4.2,0.15,2.9625,31.534183897182,-10.9905377025261
4.2,0.15,2.965,31.5053832936477,-10.9303669799211
4.2,0.15,2.9675,31.4686198605514,-10.8666060933466
4.2,0.15,2.97,31.4215166908023,-10.8003802913665
4.2,0.15,2.9725,31.3615049520693,-10.7339346934332
4.2,0.15,2.975,31.2863260719326,-10.6710468954015
4.2,0.15,2.9775,31.1949533829299,-10.6172266302547
4.2,0.15,2.98,31.0888622101955,-10.5792939485902
4.2,0.15,2.9825,30.973146984854,-10.5639268785942
4.2,0.15,2.985,30.8565309053007,-10.5752782563418
4.2,0.15,2.9875,30.7495061133774,-10.6127501732876
4.2,0.15,2.99,30.6611048635053,-10.6705395798126
4.2,0.15,2.9925,30.596150023495,-10.7395670020433
4.2,0.15,2.995,30.5545925826157,-10.8105690413126
4.2,0.15,2.9975,30.5328557284602,-10.8764798884763
4.2,0.15,3,30.5258776934456,-10.9332286540744
4.2,0.16,2,40.4602418823313,-12.7063987220204
4.2,0.16,2.0025,40.4379950817765,-12.711992868175
4.2,0.16,2.005,40.4156056648958,-12.7175830458625
4.2,0.16,2.0075,40.3930731166649,-12.7231629887426
4.2,0.16,2.01,40.3703972679861,-12.7287264743675
4.2,0.16,2.0125,40.3475782870325,-12.7342673466104
4.2,0.16,2.015,40.3246166689809,-12.7397795369338
4.2,0.16,2.0175,40.3015132242848,-12.7452570843772
4.2,0.16,2.02,40.2782690656425,-12.7506941541658
4.2,0.16,2.0225,40.2548855938219,-12.7560850548582
4.2,0.16,2.025,40.2313644825083,-12.7614242539739
4.2,0.16,2.0275,40.2077076623395,-12.7667063920551
4.2,0.16,2.03,40.1839173042917,-12.7719262951434
4.2,0.16,2.0325,40.159995802579,-12.7770789856598
4.2,0.16,2.035,40.1359457572185,-12.7821596917025
4.2,0.16,2.0375,40.1117699564111,-12.7871638547827
4.2,0.16,2.04,40.0874713588771,-12.7920871360408
4.2,0.16,2.0425,40.063053076278,-12.7969254209889
4.2,0.16,2.045,40.0385183558431,-12.8016748228439
4.2,0.16,2.0475,40.0138705633119,-12.8063316845174
4.2,0.16,2.05,39.9891131662899,-12.8108925793423
4.2,0.16,2.0525,39.9642497181047,-12.8153543106147
4.2,0.16,2.055,39.9392838422371,-12.8197139100414
4.2,0.16,2.0575,39.9142192173928,-12.8239686351803
4.2,0.16,2.06,39.8890595632652,-12.8281159659651
4.2,0.16,2.0625,39.8638086270347,-12.8321536004063
4.2,0.16,2.065,39.8384701706337,-12.8360794495597
4.2,0.16,2.0675,39.8130479588035,-12.8398916318498
4.2,0.16,2.07,39.7875457479543,-12.8435884668375
4.2,0.16,2.0725,39.7619672758369,-12.8471684685136
4.2,0.16,2.075,39.7363162520229,-12.8506303381989
4.2,0.16,2.0775,39.7105963491873,-12.8539729571276
4.2,0.16,2.08,39.6848111951796,-12.8571953787832
4.2,0.16,2.0825,39.6589643658643,-12.860296821056
4.2,0.16,2.085,39.6330593787086,-12.8632766582812
4.2,0.16,2.0875,39.6070996870915,-12.8661344132167
4.2,0.16,2.09,39.5810886753034,-12.8688697490101
4.2,0.16,2.0925,39.555029654206,-12.871482461202
4.2,0.16,2.095,39.528925857518,-12.873972469808
4.2,0.16,2.0975,39.5027804386926,-12.8763398115157
4.2,0.16,2.1,39.4765964683509,-12.8785846320285
4.2,0.16,2.1025,39.4503769322348,-12.8807071785851
4.2,0.16,2.105,39.4241247296442,-12.8827077926788
4.2,0.16,2.1075,39.3978426723227,-12.8845869029948
4.2,0.16,2.11,39.3715334837561,-12.8863450185851
4.2,0.16,2.1125,39.3451997988505,-12.8879827222905
4.2,0.16,2.115,39.3188441639555,-12.8895006644233
4.2,0.16,2.1175,39.2924690372026,-12.8908995567159
4.2,0.16,2.12,39.2660767891245,-12.8921801665399
4.2,0.16,2.1225,39.2396697035312,-12.8933433114007
4.2,0.16,2.125,39.2132499786091,-12.8943898537052
4.2,0.16,2.1275,39.1868197282228,-12.8953206958037
4.2,0.16,2.13,39.1603809833896,-12.8961367753018
4.2,0.16,2.1325,39.1339356939081,-12.8968390606391
4.2,0.16,2.135,39.1074857301156,-12.8974285469291
4.2,0.16,2.1375,39.0810328847569,-12.8979062520537
4.2,0.16,2.14,39.0545788749452,-12.898273213006
4.2,0.16,2.1425,39.0281253441967,-12.8985304824731
4.2,0.16,2.145,39.001673864526,-12.8986791256512
4.2,0.16,2.1475,38.9752259385852,-12.8987202172834
4.2,0.16,2.15,38.9487830018353,-12.8986548389122
4.2,0.16,2.1525,38.922346424738,-12.8984840763376
4.2,0.16,2.155,38.8959175149566,-12.8982090172699
4.2,0.16,2.1575,38.8694975195573,-12.8978307491706
4.2,0.16,2.16,38.8430876272015,-12.8973503572697
4.2,0.16,2.1625,38.8166889703228,-12.8967689227511
4.2,0.16,2.165,38.7903026272801,-12.8960875210982
4.2,0.16,2.1675,38.7639296244837,-12.8953072205881
4.2,0.16,2.17,38.7375709384863,-12.894429080929
4.2,0.16,2.1725,38.7112274980373,-12.8934541520295
4.2,0.16,2.175,38.684900186095,-12.892383472894
4.2,0.16,2.1775,38.6585898417935,-12.8912180706341
